Chinese,pinyin
许云樵,Xu Yunqiao 
薛佛记,Xue Fuji 
薛茂元,Xue Maoyuan 
薛荣樾,Xue Rongyue 
薛文仲,Xue Wenzhong 
薛有礼,Xue Youli 
颜永成,Yan Yongcheng 
杨瑞初,Yang Ruichu 
杨天恩,Yang Tianen 
姚紫,Yao Zi 
叶畅芬,Ye Changfen 
叶季允,Ye Jiyun 
叶平玉,Ye Pingyu 
叶之威,Ye Zhiwei 
殷碧霞,Yin Bixia 
殷雪村,Yin Xuecun 
余东璇,Yu Dongxuan 
云英杰,Yun Yingjie 
曾锦文,Zeng Jinwen 
章芳琳,Zhang Fanglin 
张汉三,Zhang Hansan 
张礼千,Zhang Liqian 
张梦生,Zhang Mengsheng 
张汝器,Zhang Ruqi 
赵玉山,Zhao Yushan 
郑古悦,Zheng Guyue 
郑章远,Zheng Zhangyuan 
周如切,Zhou Ruqie 
周润亨,Zhou Runheng 
周文礼,Zhou Wenli 
周星衢,Zhou Xingqu 
周镇豪,Zhou Zhenhao 
周子敬,Zhou Zijing 
庄庆利,Zhuang Qingli 
庄竹林,Zhuang Zhulin 
左秉隆,Zuo Binglong 
佘松城,She Songcheng
林长华,Lin Changhua
谢佛添,Xie Fotian
李天来,Li Tianlai
蔡开云,Cai Kaiyun
蔡润贤,Cai Runxian
梁亚胜,Liang Yasheng
莱佛士,Laifoshi
曹家馆当事人,Caojiaguan Dangshiren
陈景华,Chen Jinghua
阮文发,Ruan Wenfa
李清池,Li Qingchi
陈亚汉,Chen Yahan
陈纯道,Chen Chundao
蔡春茂,Cai Chunmao
陈景瑞,Chen Jingrui
张礼,Zhang Li
郭爱文,Guo Aiwen
蔡茂春,Cai Maochun
沈联芳,Shen Lianfang
陈连水,Chen Lianshui
陈成章,Chen Chengzhang
陈连南,Chen Liannan
康有为,Kang Youwei
梁启超,Liang Qichao
吴世荣,Wu Shirong
留鸿石,Liu Hongshi
叶敦仁,Ye Dunren
谢有祥,Xie Youxiang
洪福彰,Hong Fuzhang
王锦威,Wang Jinwei
许山兴,Xu Shanxing
陈霞娘,Chen Xianiang
